Property ID,Differing Columns,File1 Values,File2 Values
PT-1014-1421352,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421355,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421357,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421380,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421382,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421384,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421387,2013-14,{'2013-14': nan},{'2013-14': nan}
PT-1014-1421389,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421396,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421399,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421401,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421404,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421407,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1421409,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
