Property ID,Column,Value in File 1,Value in File 2
PT-1014-892646,Owner Id,"['bde83dd3-dfc0-487c-88e6-7ffe7ffc69c6', 'cf1cbc01-d26d-496e-bd73-077777998a4f']","['cf1cbc01-d26d-496e-bd73-077777998a4f', 'bde83dd3-dfc0-487c-88e6-7ffe7ffc69c6']"
PT-1014-1235026,Owner Id,"['dd30710f-608f-479d-9278-27d2d9f6b82a', '7e43bcf7-57b8-49f3-9999-06c07faaaa81']","['7e43bcf7-57b8-49f3-9999-06c07faaaa81', 'dd30710f-608f-479d-9278-27d2d9f6b82a']"
PT-1014-714678,Owner Id,"['faf0c920-663a-422c-b903-d0a95396a3c1', '960b6f28-ac4b-48f9-be39-aa4a94d5e9b6', '9243434e-3c16-42c3-817b-4f4b5d599878', '35c286c9-44cf-4610-b7ea-8882a2b7d1ce']","['9243434e-3c16-42c3-817b-4f4b5d599878', '35c286c9-44cf-4610-b7ea-8882a2b7d1ce', 'faf0c920-663a-422c-b903-d0a95396a3c1', '960b6f28-ac4b-48f9-be39-aa4a94d5e9b6']"
PT-1014-709553,Owner Id,"['8c07e5b1-fee4-44cf-b95b-ba39bbe492ac', '23677fe0-295b-4373-9309-593a7a3e7f94', '65495e12-ea63-46b3-af54-95072a72357b']","['65495e12-ea63-46b3-af54-95072a72357b', '8c07e5b1-fee4-44cf-b95b-ba39bbe492ac', '23677fe0-295b-4373-9309-593a7a3e7f94']"
PT-1014-1350163,Owner Id,"['f4d119f2-4eba-4ebe-a23b-d48b4c200654', '64ce9233-5f4e-4e4f-b0a5-36d99aac8e46', '0b10dc7a-fb6e-4de7-95c8-755cb6a09530', '89ddbaad-2244-4fef-97b7-704b36d45419']","['0b10dc7a-fb6e-4de7-95c8-755cb6a09530', '89ddbaad-2244-4fef-97b7-704b36d45419', 'f4d119f2-4eba-4ebe-a23b-d48b4c200654', '64ce9233-5f4e-4e4f-b0a5-36d99aac8e46']"
PT-1014-769752,Owner Id,"['99092146-af68-4da6-b777-a26354bcbd12', '7175b1b6-8aa5-41c4-8d7f-476a669f2e02', '2ea77b78-eec8-40ef-829b-6f92055084d4', '226b4801-567e-435d-a195-1247860c622a', 'd079a19d-ffa6-4725-a2d8-3531e14fe423', '83dbd539-26c1-4588-b5dc-8637b49a3948']","['2ea77b78-eec8-40ef-829b-6f92055084d4', '7175b1b6-8aa5-41c4-8d7f-476a669f2e02', '226b4801-567e-435d-a195-1247860c622a', '99092146-af68-4da6-b777-a26354bcbd12', 'd079a19d-ffa6-4725-a2d8-3531e14fe423', '83dbd539-26c1-4588-b5dc-8637b49a3948']"
PT-1014-765923,Owner Id,"['3a35652f-341d-450a-8a86-a4b69c074c51', '4afb715f-33fc-44ad-b0d8-f06b58786b80']","['4afb715f-33fc-44ad-b0d8-f06b58786b80', '3a35652f-341d-450a-8a86-a4b69c074c51']"
PT-1014-1411668,Owner Id,"['38eb4801-46dc-4bac-baa7-82501c224e6c', 'b5e86a39-8b0c-48ea-b33a-011d1c8b83bf']","['b5e86a39-8b0c-48ea-b33a-011d1c8b83bf', '38eb4801-46dc-4bac-baa7-82501c224e6c']"
PT-1014-847473,Owner Id,"['4819aaf7-becf-43e4-8b89-641f45a45eaf', '67d67e49-dc0a-40b2-a2ad-7eb86b952db4', '5906c693-8f90-414d-b9f7-b112d02fe304', '399548c1-c5be-49d4-94d3-53cddd860dea']","['399548c1-c5be-49d4-94d3-53cddd860dea', '5906c693-8f90-414d-b9f7-b112d02fe304', '4819aaf7-becf-43e4-8b89-641f45a45eaf', '67d67e49-dc0a-40b2-a2ad-7eb86b952db4']"
PT-1014-708273,Owner Id,"['164f96cf-299c-4590-a955-46e9ea41ccc3', '07cdb8d6-d6d5-45b5-8ea8-e3385d2146be', 'af1d2ba3-6bb0-4d43-9343-87fd8d19906f']","['af1d2ba3-6bb0-4d43-9343-87fd8d19906f', '07cdb8d6-d6d5-45b5-8ea8-e3385d2146be', '164f96cf-299c-4590-a955-46e9ea41ccc3']"
PT-1014-1773206,Owner Id,"['119cae85-891e-49bf-9753-94272c193978', '7b1e9ff4-b297-4579-8d3f-8735ba7101c0', 'd4d282bc-c598-4861-9e8c-d14760afe995']","['7b1e9ff4-b297-4579-8d3f-8735ba7101c0', 'd4d282bc-c598-4861-9e8c-d14760afe995', '119cae85-891e-49bf-9753-94272c193978']"
PT-1014-844741,Owner Id,"['fcd2b288-4889-4d9e-977c-da1f41bf7f8d', '39e1ffff-b205-455d-937c-b4c19894f8ae']","['39e1ffff-b205-455d-937c-b4c19894f8ae', 'fcd2b288-4889-4d9e-977c-da1f41bf7f8d']"
PT-1014-779085,Owner Id,"['81ddb5ba-93f0-4228-9c72-d54134b7a060', '472a2817-cefc-4db9-91e9-79872794428e', 'fe5ff320-1a3e-4202-aca5-6b47499a2a93', 'bfdddb39-8d4f-4145-94bd-6d721c10c99e']","['fe5ff320-1a3e-4202-aca5-6b47499a2a93', 'bfdddb39-8d4f-4145-94bd-6d721c10c99e', '472a2817-cefc-4db9-91e9-79872794428e', '81ddb5ba-93f0-4228-9c72-d54134b7a060']"
PT-1014-908766,Owner Id,"['a11d1d37-38de-40ca-99d2-342d355542d6', '645c0441-a8b6-48b3-a0a2-c8463752dfaa']","['645c0441-a8b6-48b3-a0a2-c8463752dfaa', 'a11d1d37-38de-40ca-99d2-342d355542d6']"
PT-1014-834147,Owner Id,"['0e7e23bb-f353-4738-8109-df699bd5f717', '37f3fc51-9348-4e50-9d4d-aa8d9ad43f40']","['37f3fc51-9348-4e50-9d4d-aa8d9ad43f40', '0e7e23bb-f353-4738-8109-df699bd5f717']"
PT-1014-1463263,Owner Id,"['42da8939-ba49-4087-9f34-fd161db2dc0a', '89b2a2d3-ae7b-465c-a523-14f9f780c465']","['89b2a2d3-ae7b-465c-a523-14f9f780c465', '42da8939-ba49-4087-9f34-fd161db2dc0a']"
PT-1014-1135435,Owner Id,"['ebc4de65-b898-406d-a1f9-2a2aeabae395', '38a68842-d905-4c80-8c71-69f333130903']","['38a68842-d905-4c80-8c71-69f333130903', 'ebc4de65-b898-406d-a1f9-2a2aeabae395']"
PT-1014-983776,Owner Id,"['d28e82aa-9513-4533-b9d1-0b2d81223edd', 'd8e091cb-475c-4a17-8c92-c6f7144b09b9']","['d8e091cb-475c-4a17-8c92-c6f7144b09b9', 'd28e82aa-9513-4533-b9d1-0b2d81223edd']"
PT-1014-1133856,Owner Id,"['2dc04c54-57eb-470b-ae33-88f6fd0c6ee9', '2bb58e28-777c-4ae8-92b0-a4b73b37b0ac', '6e170e4d-7931-4221-a3e7-7ae00808fd8e']","['6e170e4d-7931-4221-a3e7-7ae00808fd8e', '2bb58e28-777c-4ae8-92b0-a4b73b37b0ac', '2dc04c54-57eb-470b-ae33-88f6fd0c6ee9']"
PT-1014-1541789,Owner Id,"['9068a0f5-413c-4d61-8440-db8da8ba5810', 'e0703f58-ebc7-4c1c-b538-8eb6dd692c10', 'f3885b57-1b99-4ed5-bd1e-43899cc2b196', '1119f6b7-5a28-43d1-9473-97707a5216fe']","['f3885b57-1b99-4ed5-bd1e-43899cc2b196', '9068a0f5-413c-4d61-8440-db8da8ba5810', '1119f6b7-5a28-43d1-9473-97707a5216fe', 'e0703f58-ebc7-4c1c-b538-8eb6dd692c10']"
PT-1014-989356,Owner Id,"['022d8d06-801b-42bc-985f-33ebf52f3427', '45c7c296-547d-4609-9631-5430d2f29672', '166128ef-7da6-448f-87b2-415684af0966', '2aa25959-4ae8-4f82-955e-d23221b690aa']","['022d8d06-801b-42bc-985f-33ebf52f3427', '166128ef-7da6-448f-87b2-415684af0966', '2aa25959-4ae8-4f82-955e-d23221b690aa', '45c7c296-547d-4609-9631-5430d2f29672']"
PT-1014-1319889,Owner Id,"['6c61d6a3-1013-417b-bf70-d4c8d5d16481', 'bfec2b88-ff9c-4957-8da7-0e99528e1a93', '59f2ba4b-05be-4bee-85c1-f424455428a9', '7e1c4306-19e7-437b-ae13-47573dc9ff07']","['bfec2b88-ff9c-4957-8da7-0e99528e1a93', '7e1c4306-19e7-437b-ae13-47573dc9ff07', '59f2ba4b-05be-4bee-85c1-f424455428a9', '6c61d6a3-1013-417b-bf70-d4c8d5d16481']"
PT-1014-907010,Owner Id,"['2980eb72-6667-4557-8011-a674a3339672', '0abd14d1-9747-4cf6-914b-8777c4efe645']","['0abd14d1-9747-4cf6-914b-8777c4efe645', '2980eb72-6667-4557-8011-a674a3339672']"
PT-1014-1519483,Owner Id,"['ac5342f8-8572-415c-b23c-db7204cb8e08', 'e78f3ba0-ccb5-4508-ad81-9a53cdc11848', '16075ce3-728e-43c5-81fd-b85d561b9ad7', '4a0d8547-14b4-4da0-9f68-7e30d98b483c']","['16075ce3-728e-43c5-81fd-b85d561b9ad7', '4a0d8547-14b4-4da0-9f68-7e30d98b483c', 'e78f3ba0-ccb5-4508-ad81-9a53cdc11848', 'ac5342f8-8572-415c-b23c-db7204cb8e08']"
PT-1014-1210772,Owner Id,"['d1ff7e6f-f925-4aff-8abc-91bf3a3a6745', 'ccb44513-2fea-4ae5-93a2-d1938d0d3bfa']","['ccb44513-2fea-4ae5-93a2-d1938d0d3bfa', 'd1ff7e6f-f925-4aff-8abc-91bf3a3a6745']"
PT-1014-1160773,Owner Id,"['eb6a4c36-4503-4364-b444-5ae8d50677b7', '0bb6c39f-04cc-4c89-b1a2-b176f911b1f2']","['0bb6c39f-04cc-4c89-b1a2-b176f911b1f2', 'eb6a4c36-4503-4364-b444-5ae8d50677b7']"
PT-1014-869420,Owner Id,"['8df5438c-ca32-4d81-a1d6-71005fb1eec8', '15ee96a3-e941-4f90-b8ab-d590aa38be2c']","['15ee96a3-e941-4f90-b8ab-d590aa38be2c', '8df5438c-ca32-4d81-a1d6-71005fb1eec8']"
PT-1014-886172,Owner Id,"['6f6ce520-b8e6-4bef-a1a4-ac6880b36a27', '50c8b566-c6d7-4c92-a28c-d85cf91f5823', 'ae72bc01-5f74-4ae9-8695-9365b6865d79', '8fdc008f-557b-43de-ad77-5e1f70582745']","['8fdc008f-557b-43de-ad77-5e1f70582745', 'ae72bc01-5f74-4ae9-8695-9365b6865d79', '50c8b566-c6d7-4c92-a28c-d85cf91f5823', '6f6ce520-b8e6-4bef-a1a4-ac6880b36a27']"
PT-1014-1040600,Owner Id,"['37498ecf-f45f-4634-8c5c-6cd413cc845a', '3b3c5fa3-7d23-4435-855d-84aaf728f993']","['3b3c5fa3-7d23-4435-855d-84aaf728f993', '37498ecf-f45f-4634-8c5c-6cd413cc845a']"
PT-1014-2269321,Owner Id,"['e8b0bf7f-fdca-4d82-804a-338fea2baf0f', '616941ea-fde8-4a86-bf2c-7e33042f44cd', 'cce50927-4617-4bfe-b13e-1fd1c9ac87f2']","['616941ea-fde8-4a86-bf2c-7e33042f44cd', 'e8b0bf7f-fdca-4d82-804a-338fea2baf0f', 'cce50927-4617-4bfe-b13e-1fd1c9ac87f2']"
PT-1014-1637295,Owner Id,"['1a74e44c-6b68-4267-811b-00b910243f4a', '026cc228-a5e5-4513-be8f-6a059e709180', 'd4b9c3ed-3af4-46a5-b3f2-ac08709829a5', '3d5f5d64-ef0c-44bd-8efc-87dbc66ea631', '19dc249a-7328-4b42-befa-ab2317bad93c']","['d4b9c3ed-3af4-46a5-b3f2-ac08709829a5', '026cc228-a5e5-4513-be8f-6a059e709180', '3d5f5d64-ef0c-44bd-8efc-87dbc66ea631', '19dc249a-7328-4b42-befa-ab2317bad93c', '1a74e44c-6b68-4267-811b-00b910243f4a']"
PT-1014-978834,Owner Id,"['c16d5f12-6def-49dd-90ec-7b8007862ff6', '312ec150-673a-4bae-991f-27cd0116f701', '2f99f2e2-3050-425c-8082-49bcc62ace94']","['2f99f2e2-3050-425c-8082-49bcc62ace94', 'c16d5f12-6def-49dd-90ec-7b8007862ff6', '312ec150-673a-4bae-991f-27cd0116f701']"
PT-1014-768832,Owner Id,"['46dfd787-edfc-40ea-9ea1-5704a99f232d', '19f92e58-6aea-43f8-97a9-d8ca3f043776']","['19f92e58-6aea-43f8-97a9-d8ca3f043776', '46dfd787-edfc-40ea-9ea1-5704a99f232d']"
PT-1014-2012735,Owner Id,"['5f853a36-cb3e-4849-adca-d3641e1403e8', 'da1f81c8-179c-4d85-aaaf-41e9af764cbe']","['da1f81c8-179c-4d85-aaaf-41e9af764cbe', '5f853a36-cb3e-4849-adca-d3641e1403e8']"
PT-1014-2073819,Owner Id,"['526e4bab-4a37-4001-b1ad-7d2b3dd1b981', 'e060d5a0-045a-46ab-b196-20c74d0cc65a']","['e060d5a0-045a-46ab-b196-20c74d0cc65a', '526e4bab-4a37-4001-b1ad-7d2b3dd1b981']"
PT-1014-909355,Owner Id,"['c89cf64a-094a-4f43-9c09-071216c61f7d', 'a7cf80e7-0cd9-4431-9046-e9011e05ce6b']","['a7cf80e7-0cd9-4431-9046-e9011e05ce6b', 'c89cf64a-094a-4f43-9c09-071216c61f7d']"
PT-1014-874796,Owner Id,"['5283bbec-0397-4545-a82c-6bde963a915d', 'c00d7ee3-0e2a-45b5-9d4f-15c3566132dd', 'b79d08fc-db5e-4f13-92b4-49a01dff056e']","['b79d08fc-db5e-4f13-92b4-49a01dff056e', 'c00d7ee3-0e2a-45b5-9d4f-15c3566132dd', '5283bbec-0397-4545-a82c-6bde963a915d']"
PT-1014-989377,Owner Id,"['6a095d7a-52db-4e34-84f0-a000101744c2', 'f6d1055a-9c14-460c-b344-1a4624b63ad1', '579b72cc-0349-4c78-904c-99a5693b3b6d']","['f6d1055a-9c14-460c-b344-1a4624b63ad1', '579b72cc-0349-4c78-904c-99a5693b3b6d', '6a095d7a-52db-4e34-84f0-a000101744c2']"
PT-1014-884018,Owner Id,"['c1b86edc-9b88-4dd7-a213-0be2b820250f', '627f64d2-cae4-485e-ac56-fd7aa69c9182']","['627f64d2-cae4-485e-ac56-fd7aa69c9182', 'c1b86edc-9b88-4dd7-a213-0be2b820250f']"
PT-1014-844855,Owner Id,"['6f192c33-7fb2-4c2f-9d07-59c29ac4ab32', 'e40fc3cc-b1ab-4072-857c-b53567e30394']","['e40fc3cc-b1ab-4072-857c-b53567e30394', '6f192c33-7fb2-4c2f-9d07-59c29ac4ab32']"
PT-1014-1230169,Owner Id,"['7cc7d324-5c11-4a4d-b919-08ded8e1f243', 'ac7f3c50-25fd-4e2b-9fa4-96531ed4c4b4']","['ac7f3c50-25fd-4e2b-9fa4-96531ed4c4b4', '7cc7d324-5c11-4a4d-b919-08ded8e1f243']"
PT-1014-1039124,Owner Id,"['5123e8b0-2b94-4016-a529-ce1a34c842f0', '18c7f0b7-11a9-4cbd-ac64-d1d6d8b290f2']","['18c7f0b7-11a9-4cbd-ac64-d1d6d8b290f2', '5123e8b0-2b94-4016-a529-ce1a34c842f0']"
PT-1014-982258,Owner Id,"['3d1bcbcc-e67a-438e-9824-1c494066c8ef', '134b090d-d755-454b-a4d4-b15d76eca50d']","['134b090d-d755-454b-a4d4-b15d76eca50d', '3d1bcbcc-e67a-438e-9824-1c494066c8ef']"
PT-1014-1412872,Owner Id,"['136af4c6-91cc-4612-b2ef-0064662bb8b7', 'bd28d967-ce13-46c7-ac23-c1fdf69ca926']","['bd28d967-ce13-46c7-ac23-c1fdf69ca926', '136af4c6-91cc-4612-b2ef-0064662bb8b7']"
PT-1014-1161028,Owner Id,"['3a614191-4b3f-4614-9b55-f9ae274af901', '37962f80-c9c5-41d4-b152-eee2983cc9c1']","['37962f80-c9c5-41d4-b152-eee2983cc9c1', '3a614191-4b3f-4614-9b55-f9ae274af901']"
PT-1014-1143556,Owner Id,"['6ac46562-3eeb-4d35-aa4e-71bc8f20123d', 'db52d734-f27a-4af1-aeea-4a54429cb25e', '1c2b4af9-8bba-407a-a673-a592eff3273b']","['1c2b4af9-8bba-407a-a673-a592eff3273b', '6ac46562-3eeb-4d35-aa4e-71bc8f20123d', 'db52d734-f27a-4af1-aeea-4a54429cb25e']"
PT-1014-878256,Owner Id,"['5c4f1094-56fe-4404-85f4-62e99ce6acac', 'a5683ee9-012e-4da4-96b0-10959a888abb', 'e2388e31-5ef7-4edd-9050-6cd5946acc06']","['a5683ee9-012e-4da4-96b0-10959a888abb', '5c4f1094-56fe-4404-85f4-62e99ce6acac', 'e2388e31-5ef7-4edd-9050-6cd5946acc06']"
PT-1014-876367,Owner Id,"['8e8c24bd-56e9-4128-8a0a-4b5b8fb7d15d', 'b9052fcb-50d2-41a2-bf2f-e532971d4c37']","['b9052fcb-50d2-41a2-bf2f-e532971d4c37', '8e8c24bd-56e9-4128-8a0a-4b5b8fb7d15d']"
PT-1014-915504,Owner Id,"['26fc225b-a2c1-4701-9fff-b9af380016ad', 'c2a12ab4-ca10-4309-8b4b-5b0f89299565', 'dd868813-dd69-4c93-a9f9-a85283c05e23']","['c2a12ab4-ca10-4309-8b4b-5b0f89299565', 'dd868813-dd69-4c93-a9f9-a85283c05e23', '26fc225b-a2c1-4701-9fff-b9af380016ad']"
PT-1014-1045565,Owner Id,"['48e82271-b65b-48ea-8e03-892bc6e88525', '2d17c9ae-1f4a-41b5-89e1-3185320e4619']","['2d17c9ae-1f4a-41b5-89e1-3185320e4619', '48e82271-b65b-48ea-8e03-892bc6e88525']"
PT-1014-779607,Owner Id,"['7a1e68f5-4aa2-4c12-a4d2-180e1e398168', 'd1aa3874-1bdc-4208-a5b6-7ccad8de35e0']","['d1aa3874-1bdc-4208-a5b6-7ccad8de35e0', '7a1e68f5-4aa2-4c12-a4d2-180e1e398168']"
PT-1014-1015435,Owner Id,"['4ac4e23b-fcb0-4251-9043-f40a3276cce6', 'c3201e42-5922-44df-aef4-6e4548399868', '284a70f5-e599-41c2-9fe8-b784f02d4a60', '7990463a-ce20-4844-b910-9ea9682accfb', '03635d94-52cb-4bf8-bbc6-24d11dd8dee7']","['4ac4e23b-fcb0-4251-9043-f40a3276cce6', '03635d94-52cb-4bf8-bbc6-24d11dd8dee7', 'c3201e42-5922-44df-aef4-6e4548399868', '284a70f5-e599-41c2-9fe8-b784f02d4a60', '7990463a-ce20-4844-b910-9ea9682accfb']"
PT-1014-914811,Owner Id,"['9733022f-52fa-4fd4-a530-5893288b771e', '3608e6ad-7b26-4757-a3ff-1ab43cca82e1']","['3608e6ad-7b26-4757-a3ff-1ab43cca82e1', '9733022f-52fa-4fd4-a530-5893288b771e']"
PT-1014-987738,Owner Id,"['685e766e-7f44-4314-9e04-ff60920cc71d', '3a67679f-feff-49e3-abc1-fb418888ee72']","['3a67679f-feff-49e3-abc1-fb418888ee72', '685e766e-7f44-4314-9e04-ff60920cc71d']"
PT-1014-1552328,Owner Id,"['888fc167-b446-4f64-a289-cd2a040a4669', 'fd6b2328-0965-4be2-b8be-15b94fa488fc']","['fd6b2328-0965-4be2-b8be-15b94fa488fc', '888fc167-b446-4f64-a289-cd2a040a4669']"
PT-1014-1040211,Owner Id,"['a5b6e1de-e0b4-474f-a083-8962f94833fe', '6c726378-34b3-4d7d-bbae-2b98b3276692']","['6c726378-34b3-4d7d-bbae-2b98b3276692', 'a5b6e1de-e0b4-474f-a083-8962f94833fe']"
PT-1014-2065748,Owner Id,"['293d437e-c4aa-4410-8942-38bd8cfa91c2', 'e7ed3ca2-140d-4328-b03c-f7991d57da70']","['e7ed3ca2-140d-4328-b03c-f7991d57da70', '293d437e-c4aa-4410-8942-38bd8cfa91c2']"
PT-1014-1023565,Owner Id,"['3a6e16ab-14d7-453f-8baa-c6933555b8c2', 'ac0a6ddd-ef1b-439b-8143-741b45947fe3', '66221c29-fa92-415f-a066-50234dd6147b', 'fdc676a0-c41b-49d0-a9c8-112396d312d6']","['fdc676a0-c41b-49d0-a9c8-112396d312d6', 'ac0a6ddd-ef1b-439b-8143-741b45947fe3', '66221c29-fa92-415f-a066-50234dd6147b', '3a6e16ab-14d7-453f-8baa-c6933555b8c2']"
PT-1014-895425,Owner Id,"['befcb9a6-41d2-4325-8df0-9428cbb5723e', '4941b879-6669-4152-9725-dff62199b947', 'b32c248f-e82e-4076-8213-a86e1d52c535']","['befcb9a6-41d2-4325-8df0-9428cbb5723e', 'b32c248f-e82e-4076-8213-a86e1d52c535', '4941b879-6669-4152-9725-dff62199b947']"
PT-1014-2001514,Owner Id,"['48756ca9-9d58-4460-9c06-6b2e3bda3977', 'c6480c3d-57b5-4dbc-8b82-a71955a37ec4']","['c6480c3d-57b5-4dbc-8b82-a71955a37ec4', '48756ca9-9d58-4460-9c06-6b2e3bda3977']"
PT-1014-2074574,Owner Id,"['118bc7a1-2726-47f1-b2f8-3064deddd706', '9ce25a60-8cb8-4e2c-9588-6a94d35ef324']","['9ce25a60-8cb8-4e2c-9588-6a94d35ef324', '118bc7a1-2726-47f1-b2f8-3064deddd706']"
PT-1014-714352,Owner Id,"['ec91fb4e-e686-4a41-997b-47b7e9692ade', '1782bba3-807b-49ae-b193-fc07175301ca', '26045d2f-e5f5-4242-b276-f74d500ca29f']","['26045d2f-e5f5-4242-b276-f74d500ca29f', '1782bba3-807b-49ae-b193-fc07175301ca', 'ec91fb4e-e686-4a41-997b-47b7e9692ade']"
PT-1014-1039641,Owner Id,"['8340116b-f379-46d0-a5b7-635287b6c471', 'd56788ba-0111-4a3f-ba57-a6ce8ad7fdaf', 'e7d11d95-3289-41a5-a6e1-88366436bb47', 'a8510329-6b43-4347-8585-b5162b95253f']","['a8510329-6b43-4347-8585-b5162b95253f', 'e7d11d95-3289-41a5-a6e1-88366436bb47', 'd56788ba-0111-4a3f-ba57-a6ce8ad7fdaf', '8340116b-f379-46d0-a5b7-635287b6c471']"
PT-1014-755096,Owner Id,"['89b2e502-93c0-4f39-bfba-c1b29b11c76b', '8835b45f-7c86-4e09-a8b8-81df2623e3d4']","['8835b45f-7c86-4e09-a8b8-81df2623e3d4', '89b2e502-93c0-4f39-bfba-c1b29b11c76b']"
PT-1014-1032248,Owner Id,"['d453d6f0-a86f-4aef-ae77-36e09fec4f26', '80278ab8-7194-4fac-a25c-d3e1823012f1']","['80278ab8-7194-4fac-a25c-d3e1823012f1', 'd453d6f0-a86f-4aef-ae77-36e09fec4f26']"
PT-1014-1134898,Owner Id,"['8a3eb351-9f51-42c0-b044-9c2e165bd6cf', 'b9fb7d1e-4529-49cf-b8e1-c8ac25b03017']","['b9fb7d1e-4529-49cf-b8e1-c8ac25b03017', '8a3eb351-9f51-42c0-b044-9c2e165bd6cf']"
PT-1014-1612310,Owner Id,"['cb444bcc-ec25-4976-b9c5-3e9726e1d442', '04ee92fd-5171-496e-814d-a9fda0fff5a9', 'de4096b5-1308-4a85-89af-9cbd9e47455d']","['04ee92fd-5171-496e-814d-a9fda0fff5a9', 'de4096b5-1308-4a85-89af-9cbd9e47455d', 'cb444bcc-ec25-4976-b9c5-3e9726e1d442']"
PT-1014-760729,Owner Id,"['2f97be65-f6fa-4758-a7cb-4c3bbc76c6f9', '7fa7e797-5086-4dd7-9f18-d251016adbe5']","['7fa7e797-5086-4dd7-9f18-d251016adbe5', '2f97be65-f6fa-4758-a7cb-4c3bbc76c6f9']"
PT-1014-1002293,Owner Id,"['13cb6ac2-fdbc-4f85-93d2-9847ee852ed4', 'fb5654dd-61cc-42f9-8d4a-dafbf0e5f990', 'a5351f1c-3bf1-40ee-a5bc-b85458258d0d', '5faf9304-0c67-45a4-a74e-3e8741bd94b7']","['a5351f1c-3bf1-40ee-a5bc-b85458258d0d', '13cb6ac2-fdbc-4f85-93d2-9847ee852ed4', '5faf9304-0c67-45a4-a74e-3e8741bd94b7', 'fb5654dd-61cc-42f9-8d4a-dafbf0e5f990']"
PT-1014-1542210,Owner Id,"['f49b3ac9-b338-4488-ae99-8dd003f10d4e', 'abbe8ff7-ffbc-4790-9525-85c17032fcaa', '09e45716-fa9b-466b-afc3-eee4c3d48c58', '24fcd05c-93e5-4379-a51f-1b4b87694c7d']","['f49b3ac9-b338-4488-ae99-8dd003f10d4e', '09e45716-fa9b-466b-afc3-eee4c3d48c58', 'abbe8ff7-ffbc-4790-9525-85c17032fcaa', '24fcd05c-93e5-4379-a51f-1b4b87694c7d']"
PT-1014-1255072,Owner Id,"['9e2bc516-32d0-4361-82e8-ec3c875162a3', 'ac4db240-c191-4e94-8a4b-90d277cb0700']","['ac4db240-c191-4e94-8a4b-90d277cb0700', '9e2bc516-32d0-4361-82e8-ec3c875162a3']"
PT-1014-1702193,Owner Id,"['9acce9d7-378d-4364-ba5e-c201206d459b', '14fcf520-aeaa-45ba-8850-946efd1e079f', '7aec7508-cabd-424d-a49c-e8027ec7ce7e']","['14fcf520-aeaa-45ba-8850-946efd1e079f', '9acce9d7-378d-4364-ba5e-c201206d459b', '7aec7508-cabd-424d-a49c-e8027ec7ce7e']"
PT-1014-995201,Owner Id,"['c9fcac87-f4dd-494d-867b-ef736d857600', '2d7f54ef-c8af-47ed-9f94-a284ee699588', '6f6db408-4fa4-4c8b-9e60-745783849890']","['6f6db408-4fa4-4c8b-9e60-745783849890', 'c9fcac87-f4dd-494d-867b-ef736d857600', '2d7f54ef-c8af-47ed-9f94-a284ee699588']"
PT-1014-1591500,Owner Id,"['5103c357-1ae6-438f-a1a8-f71627d0b770', 'a9a9205c-d63c-4fb0-a5a3-257b7fcf5624']","['a9a9205c-d63c-4fb0-a5a3-257b7fcf5624', '5103c357-1ae6-438f-a1a8-f71627d0b770']"
PT-1014-1026621,Owner Id,"['5a8eba3f-4871-4dc2-9e75-d69aa2d9e3bb', '3fb06f8e-698d-43fc-a1fa-87140ef6cbdf', '8087dc66-9f23-4fe1-8335-1b2975b74e71', '03536737-617d-4953-92a3-5ec169feff67']","['3fb06f8e-698d-43fc-a1fa-87140ef6cbdf', '8087dc66-9f23-4fe1-8335-1b2975b74e71', '03536737-617d-4953-92a3-5ec169feff67', '5a8eba3f-4871-4dc2-9e75-d69aa2d9e3bb']"
PT-1014-1003411,Owner Id,"['67274e0e-4ad7-4640-9e03-8af6a3950d97', '9b1d338e-9c73-4267-8f29-12557c35e498']","['9b1d338e-9c73-4267-8f29-12557c35e498', '67274e0e-4ad7-4640-9e03-8af6a3950d97']"
PT-1014-1416015,Owner Id,"['f4664855-292b-4eca-aaf3-04e9705018d9', 'f7e5dd29-f0b3-4591-8e43-bd1876842c78']","['f7e5dd29-f0b3-4591-8e43-bd1876842c78', 'f4664855-292b-4eca-aaf3-04e9705018d9']"
PT-1014-704328,Owner Id,"['6dfe120f-7af8-41e7-b797-c586364d54d9', '6f192c33-7fb2-4c2f-9d07-59c29ac4ab32', 'e40fc3cc-b1ab-4072-857c-b53567e30394']","['6dfe120f-7af8-41e7-b797-c586364d54d9', 'e40fc3cc-b1ab-4072-857c-b53567e30394', '6f192c33-7fb2-4c2f-9d07-59c29ac4ab32']"
PT-1014-2065453,Owner Id,"['86ec0b21-30ac-417f-b62d-9a7da881d0c0', '1ecd172f-c0aa-4827-8900-4b1221bc8095']","['1ecd172f-c0aa-4827-8900-4b1221bc8095', '86ec0b21-30ac-417f-b62d-9a7da881d0c0']"
PT-1014-1760447,Owner Id,"['04249e69-b4c1-4fdb-aefe-3bc60ace780f', '042adb99-af73-4490-958b-4d8dac2c01dc']","['042adb99-af73-4490-958b-4d8dac2c01dc', '04249e69-b4c1-4fdb-aefe-3bc60ace780f']"
PT-1014-996339,Owner Id,"['e529339b-db71-4d2b-862f-e36660d33f21', '463d29f0-1c5a-42c2-886f-cf434e221409', 'e229a4eb-8fe9-426e-884c-3d40adf71f4c', '4910a561-8cf2-4738-a3b5-67a7a520c1cd']","['4910a561-8cf2-4738-a3b5-67a7a520c1cd', 'e229a4eb-8fe9-426e-884c-3d40adf71f4c', '463d29f0-1c5a-42c2-886f-cf434e221409', 'e529339b-db71-4d2b-862f-e36660d33f21']"
