Property ID,Column,Value in File 1,Value in File 2
PT-1014-1156186,Owner Id,"['c3200302-acc6-427b-9eef-da0ccac298dd', 'cab02f20-2964-484c-bd0c-cd4c54a4c134', '00f05e38-7555-4cd5-b5e4-13fff0bfe692']","['cab02f20-2964-484c-bd0c-cd4c54a4c134', '00f05e38-7555-4cd5-b5e4-13fff0bfe692', 'c3200302-acc6-427b-9eef-da0ccac298dd']"
PT-1014-1597056,Owner Id,"['cde934d0-cc2c-4fdc-b41c-f45f9eb63bb3', '86a62164-cf5b-4ee6-a9f7-e795657b996d']","['86a62164-cf5b-4ee6-a9f7-e795657b996d', 'cde934d0-cc2c-4fdc-b41c-f45f9eb63bb3']"
PT-1014-765683,Owner Id,"['b011e1c5-33fa-4d7f-902f-f8cf53396183', 'bf4cff87-81d7-427c-8e93-8ba3bef9c29c', '0e1f31b8-b6d7-478c-924c-4983c0f62bd0', '0e96ce65-4c65-43da-967b-99ead73980d5', '0aeb93b9-6b7f-4772-a191-17cc7de2d620', '0d6cb91b-51c3-451b-aad5-0c57b68d950a', '0ceb4d26-2b33-4189-ae17-7a55be2c594a']","['bf4cff87-81d7-427c-8e93-8ba3bef9c29c', '0d6cb91b-51c3-451b-aad5-0c57b68d950a', 'b011e1c5-33fa-4d7f-902f-f8cf53396183', '0e1f31b8-b6d7-478c-924c-4983c0f62bd0', '0e96ce65-4c65-43da-967b-99ead73980d5', '0ceb4d26-2b33-4189-ae17-7a55be2c594a', '0aeb93b9-6b7f-4772-a191-17cc7de2d620']"
PT-1014-1043236,Owner Id,"['9a871930-077c-484b-80f8-355de1ed6709', '002dc671-7352-4325-9db7-3539fc09ac87']","['002dc671-7352-4325-9db7-3539fc09ac87', '9a871930-077c-484b-80f8-355de1ed6709']"
PT-1014-1154719,Owner Id,"['ebb13e93-0d1c-424c-9e28-c874314254d1', 'eb95bbd1-83f6-40f4-94f6-33021d05c9b3', 'edd31c13-af62-458d-bdd3-fc11c8b9962c', '4d7825ad-45c1-40ac-8755-33e34e2ed800']","['4d7825ad-45c1-40ac-8755-33e34e2ed800', 'ebb13e93-0d1c-424c-9e28-c874314254d1', 'edd31c13-af62-458d-bdd3-fc11c8b9962c', 'eb95bbd1-83f6-40f4-94f6-33021d05c9b3']"
PT-1014-766104,Owner Id,"['0add6d62-eb8e-4a82-aef9-4edbff57bd8f', 'e05d1f6a-b93c-4e06-8aea-6a50e67918e9', '63d5fe8b-3fcb-4004-9239-629075b3d969']","['63d5fe8b-3fcb-4004-9239-629075b3d969', 'e05d1f6a-b93c-4e06-8aea-6a50e67918e9', '0add6d62-eb8e-4a82-aef9-4edbff57bd8f']"
PT-1014-765858,Owner Id,"['dcb2f41e-8ed2-4bd7-8f79-2366a15093cc', '68bdeacb-b7cd-4850-8db9-e424e85a3f8d']","['68bdeacb-b7cd-4850-8db9-e424e85a3f8d', 'dcb2f41e-8ed2-4bd7-8f79-2366a15093cc']"
PT-1014-1653412,Owner Id,"['d163b3b6-83dc-4295-988f-2fa8eae80f16', '27cd8107-ae57-4fad-9b5e-70ead27cd9cc']","['27cd8107-ae57-4fad-9b5e-70ead27cd9cc', 'd163b3b6-83dc-4295-988f-2fa8eae80f16']"
PT-1014-1024405,Owner Id,"['3ae1e3c5-556d-4741-b2a1-1828f99c7fe7', '3945ed4d-8717-4817-a0af-a3e22bb0c6a2', 'eeeb70d6-f4d2-4113-95c1-32f2b8ed8832', '950793c7-16d1-454c-8d8a-0afc93b42121']","['3945ed4d-8717-4817-a0af-a3e22bb0c6a2', '950793c7-16d1-454c-8d8a-0afc93b42121', '3ae1e3c5-556d-4741-b2a1-1828f99c7fe7', 'eeeb70d6-f4d2-4113-95c1-32f2b8ed8832']"
PT-1014-878339,Owner Id,"['2cab0f2a-071a-4635-9f0a-5a12d04d7bf3', '24e46e71-3a97-4df3-a46f-7fc5cff13c98', '829af16f-d274-481c-9587-1b268d4e3a1b']","['829af16f-d274-481c-9587-1b268d4e3a1b', '24e46e71-3a97-4df3-a46f-7fc5cff13c98', '2cab0f2a-071a-4635-9f0a-5a12d04d7bf3']"
PT-1014-983750,Owner Id,"['c100a293-0a28-4ab2-a3cc-5072c0790e53', 'ef50ae24-b8f0-4da4-b1c2-14bfa6e2edbe']","['ef50ae24-b8f0-4da4-b1c2-14bfa6e2edbe', 'c100a293-0a28-4ab2-a3cc-5072c0790e53']"
PT-1014-1396751,Owner Id,"['1c9156f3-11ee-4d37-89a5-5d941ecabe8e', '54b781f8-813b-499f-bba9-1c3c4f58b832']","['54b781f8-813b-499f-bba9-1c3c4f58b832', '1c9156f3-11ee-4d37-89a5-5d941ecabe8e']"
PT-1014-706974,Owner Id,"['90d4c0c4-5ada-49ea-a306-a001be67e993', '66cdc19a-8208-4b3f-b6e4-46a9126d2169']","['66cdc19a-8208-4b3f-b6e4-46a9126d2169', '90d4c0c4-5ada-49ea-a306-a001be67e993']"
PT-1014-762583,Owner Id,"['5b7677cf-fa4c-4e54-a473-0afe2dbaed08', '46bbbe75-dcf9-4cd4-bad6-af4369ccc653']","['46bbbe75-dcf9-4cd4-bad6-af4369ccc653', '5b7677cf-fa4c-4e54-a473-0afe2dbaed08']"
PT-1014-779656,Owner Id,"['7a1e68f5-4aa2-4c12-a4d2-180e1e398168', 'd1aa3874-1bdc-4208-a5b6-7ccad8de35e0']","['d1aa3874-1bdc-4208-a5b6-7ccad8de35e0', '7a1e68f5-4aa2-4c12-a4d2-180e1e398168']"
PT-1014-1038560,Owner Id,"['03607017-932e-4643-b122-6b0151d0f256', '27eeb630-430f-468b-a015-d9e5b813b134']","['27eeb630-430f-468b-a015-d9e5b813b134', '03607017-932e-4643-b122-6b0151d0f256']"
PT-1014-2010844,Owner Id,"['dbea2019-cabc-468e-baee-a8fec33fea71', '23dc0f25-8818-4f2e-8695-315877bf026f']","['23dc0f25-8818-4f2e-8695-315877bf026f', 'dbea2019-cabc-468e-baee-a8fec33fea71']"
PT-1014-1229570,Owner Id,"['b2d850ac-3d77-480c-8f22-6780342aac72', '9576aa72-c202-40a0-b494-b918cdf6a582']","['9576aa72-c202-40a0-b494-b918cdf6a582', 'b2d850ac-3d77-480c-8f22-6780342aac72']"
PT-1014-714424,Owner Id,"['b438339d-5133-4f00-9880-d065a4713f7c', 'f4fe050f-b2f4-4c6d-b55e-aaa0a38a1c9b']","['f4fe050f-b2f4-4c6d-b55e-aaa0a38a1c9b', 'b438339d-5133-4f00-9880-d065a4713f7c']"
PT-1014-1014344,Owner Id,"['c66cf4b0-7da5-41c1-b522-b05de4fbbb98', '056fd879-629a-4126-8b61-0e0ed0825d35']","['056fd879-629a-4126-8b61-0e0ed0825d35', 'c66cf4b0-7da5-41c1-b522-b05de4fbbb98']"
PT-1014-1603095,Owner Id,"['710d4d43-5c4a-4cc5-acb8-a1b4f208eb05', '37a8e9b9-0c28-4154-84fa-88c79219b4ed', 'a22cdfcd-76ac-4896-9880-875f7ba1e4f8']","['710d4d43-5c4a-4cc5-acb8-a1b4f208eb05', 'a22cdfcd-76ac-4896-9880-875f7ba1e4f8', '37a8e9b9-0c28-4154-84fa-88c79219b4ed']"
PT-1014-1399782,Owner Id,"['f2ef0cb8-7c30-42c5-90f7-7b4992af5183', '971033f3-673a-489f-8283-e95de799ebff']","['971033f3-673a-489f-8283-e95de799ebff', 'f2ef0cb8-7c30-42c5-90f7-7b4992af5183']"
PT-1014-1477645,Owner Id,"['2607ebee-1910-4248-be70-884c846e2f46', '8bc57946-876b-4511-8bc9-1eedc9d6bd75']","['8bc57946-876b-4511-8bc9-1eedc9d6bd75', '2607ebee-1910-4248-be70-884c846e2f46']"
PT-1014-1555916,Owner Id,"['917bb20a-f2ef-4c99-abb1-45aec035e794', '11e5f20a-90a5-4894-9f5a-96d55f4cd01b']","['11e5f20a-90a5-4894-9f5a-96d55f4cd01b', '917bb20a-f2ef-4c99-abb1-45aec035e794']"
